epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,27934.7,0.95042,0.45654,0.92075,0.38025,0.32089,0.31793,0.19066,1.66576,1.49408,1.26649,0.0074656,0.0074656,0.0074656
66,28182.1,0.94965,0.45611,0.92031,0.38075,0.32111,0.31805,0.19078,1.66673,1.498,1.26672,0.007426,0.007426,0.007426
67,28429.6,0.94587,0.45389,0.91903,0.38062,0.32039,0.31789,0.19054,1.66874,1.50095,1.26751,0.0073864,0.0073864,0.0073864
68,28677.1,0.94406,0.45356,0.91883,0.38206,0.31945,0.31813,0.1906,1.66978,1.50473,1.26778,0.0073468,0.0073468,0.0073468
69,28925,0.94363,0.45306,0.91846,0.38277,0.31933,0.31827,0.19074,1.67001,1.50871,1.26759,0.0073072,0.0073072,0.0073072
70,29172.7,0.94402,0.45344,0.91948,0.38333,0.31818,0.31845,0.19083,1.67063,1.51064,1.26782,0.0072676,0.0072676,0.0072676
71,29419.1,0.94012,0.45139,0.91803,0.38337,0.31795,0.31819,0.19074,1.67172,1.51374,1.26808,0.007228,0.007228,0.007228
72,29665.8,0.94151,0.45096,0.91766,0.38394,0.31678,0.31832,0.19085,1.672,1.51808,1.26801,0.0071884,0.0071884,0.0071884
73,29911.8,0.93759,0.44968,0.91751,0.38338,0.31722,0.31855,0.19102,1.6731,1.52142,1.26833,0.0071488,0.0071488,0.0071488
74,30158.2,0.93568,0.44868,0.91709,0.38335,0.3173,0.31935,0.19164,1.67423,1.52332,1.26889,0.0071092,0.0071092,0.0071092
75,30404.3,0.93601,0.44894,0.91684,0.38517,0.31776,0.31964,0.19183,1.67435,1.5264,1.26861,0.0070696,0.0070696,0.0070696
76,30650.8,0.93451,0.44718,0.91549,0.38706,0.31796,0.31991,0.19187,1.67568,1.5304,1.26902,0.00703,0.00703,0.00703
77,30896.7,0.93227,0.44721,0.91631,0.38941,0.3179,0.31969,0.19173,1.67743,1.53424,1.2697,0.0069904,0.0069904,0.0069904
78,31143.1,0.92919,0.44541,0.9148,0.38989,0.31909,0.31966,0.19148,1.68024,1.53886,1.27086,0.0069508,0.0069508,0.0069508
79,31388.7,0.92983,0.44587,0.91474,0.3916,0.31961,0.32,0.19157,1.6822,1.54222,1.2717,0.0069112,0.0069112,0.0069112
80,31635,0.92716,0.44447,0.91399,0.39272,0.31851,0.32007,0.1915,1.68482,1.54687,1.2727,0.0068716,0.0068716,0.0068716
81,31881.1,0.92692,0.44407,0.91307,0.3938,0.31721,0.32005,0.19147,1.68628,1.55044,1.27318,0.006832,0.006832,0.006832
82,32126.9,0.92401,0.4425,0.91279,0.39451,0.31648,0.32005,0.19141,1.68843,1.55564,1.274,0.0067924,0.0067924,0.0067924
83,32373.8,0.9221,0.4424,0.91138,0.39402,0.31608,0.31995,0.1913,1.69,1.55944,1.27455,0.0067528,0.0067528,0.0067528
84,32620.2,0.92421,0.44271,0.91197,0.39489,0.31509,0.31996,0.1914,1.69039,1.56391,1.2745,0.0067132,0.0067132,0.0067132
85,32866.6,0.92283,0.44204,0.91253,0.39598,0.31491,0.31985,0.19139,1.69173,1.56671,1.2752,0.0066736,0.0066736,0.0066736
86,33112.6,0.9188,0.44044,0.91166,0.39787,0.31433,0.32001,0.19142,1.69333,1.57002,1.27571,0.006634,0.006634,0.006634
87,33358.8,0.91846,0.43975,0.91103,0.3976,0.31276,0.32016,0.19141,1.6958,1.57406,1.27678,0.0065944,0.0065944,0.0065944
88,33604.9,0.91852,0.43961,0.91068,0.39758,0.31072,0.3199,0.19121,1.69697,1.57895,1.27734,0.0065548,0.0065548,0.0065548
89,33851.5,0.91536,0.43742,0.90957,0.3985,0.31023,0.32014,0.19139,1.69871,1.58324,1.2779,0.0065152,0.0065152,0.0065152
90,34097.7,0.91555,0.43778,0.90932,0.3985,0.31061,0.32034,0.19163,1.6999,1.58651,1.27809,0.0064756,0.0064756,0.0064756
91,34344,0.91573,0.43784,0.90937,0.3993,0.30937,0.32019,0.19155,1.7014,1.59113,1.27879,0.006436,0.006436,0.006436
92,34590.3,0.91132,0.43619,0.90826,0.39981,0.30889,0.32,0.19142,1.70341,1.59442,1.27981,0.0063964,0.0063964,0.0063964
93,34836.9,0.91258,0.43672,0.90803,0.40064,0.30821,0.31875,0.19017,1.70552,1.59809,1.28098,0.0063568,0.0063568,0.0063568
94,35083,0.90838,0.43423,0.90792,0.40037,0.30818,0.31884,0.19025,1.70742,1.60113,1.28194,0.0063172,0.0063172,0.0063172
95,35328.5,0.90788,0.43406,0.90821,0.40028,0.3075,0.31878,0.19028,1.70886,1.60402,1.28257,0.0062776,0.0062776,0.0062776
96,35574.3,0.90888,0.4346,0.90797,0.3999,0.306,0.31886,0.19036,1.70915,1.60594,1.28279,0.006238,0.006238,0.006238
97,35820.4,0.90624,0.43357,0.90744,0.40144,0.30575,0.31908,0.19055,1.71051,1.60883,1.2835,0.0061984,0.0061984,0.0061984
98,36066,0.90741,0.43387,0.90705,0.4019,0.30548,0.31896,0.19052,1.71203,1.61306,1.28399,0.0061588,0.0061588,0.0061588
99,36312,0.90537,0.4333,0.90551,0.40263,0.30505,0.31906,0.19064,1.71377,1.61585,1.28479,0.0061192,0.0061192,0.0061192
100,36558.1,0.902,0.43047,0.9043,0.40432,0.30479,0.31914,0.19073,1.71534,1.62128,1.28564,0.0060796,0.0060796,0.0060796
101,36803.6,0.90179,0.43182,0.9052,0.40497,0.30445,0.31931,0.19097,1.71594,1.62413,1.28612,0.00604,0.00604,0.00604
102,37049.3,0.90265,0.43149,0.9058,0.40642,0.30426,0.3198,0.19144,1.71625,1.62833,1.28627,0.0060004,0.0060004,0.0060004
103,37295,0.89968,0.42995,0.90369,0.40737,0.30351,0.32009,0.19156,1.7184,1.63074,1.28741,0.0059608,0.0059608,0.0059608
104,37540.8,0.90408,0.43169,0.90422,0.40884,0.303,0.3203,0.1918,1.71922,1.63343,1.28773,0.0059212,0.0059212,0.0059212
105,37786.7,0.89712,0.42839,0.90342,0.40913,0.30275,0.32043,0.19184,1.72062,1.63849,1.28852,0.0058816,0.0058816,0.0058816
106,38032.5,0.89792,0.42905,0.90385,0.41101,0.3027,0.32075,0.19222,1.7213,1.64033,1.28878,0.005842,0.005842,0.005842
