epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,6399.58,1.42835,1.10641,1.07156,0.49727,0.39506,0.40784,0.24601,1.3536,1.04985,1.05471,0.007426,0.007426,0.007426
67,6495.76,1.42942,1.10613,1.07207,0.50086,0.40041,0.41074,0.24661,1.35285,1.04631,1.05259,0.0073864,0.0073864,0.0073864
68,6593.48,1.42371,1.09841,1.06868,0.50478,0.40216,0.41363,0.25007,1.34958,1.0441,1.05194,0.0073468,0.0073468,0.0073468
69,6690.11,1.42814,1.09929,1.0693,0.50021,0.40525,0.41458,0.25082,1.35036,1.04226,1.05218,0.0073072,0.0073072,0.0073072
70,6786.53,1.42282,1.09511,1.06896,0.51409,0.39991,0.41499,0.2515,1.3493,1.04088,1.05067,0.0072676,0.0072676,0.0072676
71,6882.61,1.41718,1.09414,1.06665,0.51437,0.40286,0.41832,0.25312,1.34656,1.03853,1.0487,0.007228,0.007228,0.007228
72,6979.79,1.41843,1.09204,1.06795,0.51147,0.40013,0.41694,0.25309,1.34809,1.03708,1.04981,0.0071884,0.0071884,0.0071884
73,7075.57,1.413,1.08636,1.0652,0.51019,0.40572,0.41763,0.25279,1.34746,1.03612,1.04877,0.0071488,0.0071488,0.0071488
74,7173.08,1.41541,1.08812,1.06554,0.51872,0.39998,0.41885,0.25382,1.34626,1.03394,1.04839,0.0071092,0.0071092,0.0071092
75,7269.52,1.41407,1.08355,1.06278,0.50871,0.40083,0.41728,0.25237,1.34551,1.03495,1.04831,0.0070696,0.0070696,0.0070696
76,7367.28,1.41619,1.0819,1.06612,0.51844,0.40443,0.42151,0.25538,1.34371,1.02969,1.04794,0.00703,0.00703,0.00703
77,7463.53,1.40969,1.07728,1.06412,0.51753,0.40527,0.42255,0.25697,1.34259,1.02818,1.04671,0.0069904,0.0069904,0.0069904
78,7559.47,1.40487,1.07413,1.0627,0.52708,0.3986,0.42258,0.25725,1.34131,1.02713,1.04642,0.0069508,0.0069508,0.0069508
79,7655.7,1.40329,1.07468,1.06316,0.52109,0.40175,0.42235,0.25667,1.34001,1.02685,1.04554,0.0069112,0.0069112,0.0069112
80,7753.61,1.41153,1.0791,1.06171,0.51481,0.40343,0.42498,0.25867,1.34032,1.02675,1.04559,0.0068716,0.0068716,0.0068716
81,7849.85,1.40365,1.06896,1.06,0.5177,0.40339,0.42329,0.25808,1.34031,1.0246,1.04543,0.006832,0.006832,0.006832
82,7946.31,1.40754,1.07138,1.05963,0.52245,0.40711,0.42417,0.25791,1.33924,1.02338,1.04372,0.0067924,0.0067924,0.0067924
83,8042.48,1.40328,1.0692,1.06205,0.51277,0.41089,0.42504,0.2584,1.33756,1.02365,1.04366,0.0067528,0.0067528,0.0067528
84,8139.03,1.40419,1.06485,1.05916,0.51375,0.40849,0.42549,0.25943,1.33688,1.02158,1.0428,0.0067132,0.0067132,0.0067132
85,8235.17,1.39755,1.06011,1.05578,0.52665,0.40657,0.42711,0.26005,1.3356,1.01921,1.04225,0.0066736,0.0066736,0.0066736
86,8331.63,1.39498,1.05581,1.05552,0.51875,0.40896,0.42766,0.26006,1.33586,1.01913,1.04189,0.006634,0.006634,0.006634
87,8427.27,1.391,1.05535,1.05756,0.52586,0.40763,0.42807,0.26076,1.33533,1.01929,1.04171,0.0065944,0.0065944,0.0065944
88,8523.19,1.39132,1.05537,1.05472,0.52323,0.4096,0.42854,0.25982,1.33468,1.01793,1.04157,0.0065548,0.0065548,0.0065548
89,8619.14,1.3913,1.05138,1.05467,0.52669,0.40873,0.42814,0.25992,1.33321,1.01681,1.04092,0.0065152,0.0065152,0.0065152
90,8715.09,1.39291,1.0511,1.05533,0.52947,0.41042,0.42823,0.25969,1.33254,1.01614,1.04025,0.0064756,0.0064756,0.0064756
91,8811.71,1.39958,1.05505,1.05668,0.52707,0.41171,0.42865,0.26019,1.332,1.0162,1.04011,0.006436,0.006436,0.006436
92,8908.16,1.39176,1.04933,1.05249,0.53265,0.41167,0.42964,0.26149,1.33123,1.01439,1.03982,0.0063964,0.0063964,0.0063964
93,9004.69,1.38945,1.0501,1.05208,0.51732,0.41863,0.42938,0.26148,1.33054,1.01285,1.0396,0.0063568,0.0063568,0.0063568
94,9100.98,1.38839,1.04256,1.05218,0.52398,0.41405,0.431,0.26257,1.33013,1.01166,1.0394,0.0063172,0.0063172,0.0063172
95,9196.86,1.384,1.04471,1.05277,0.5179,0.41827,0.43167,0.26333,1.32974,1.01044,1.03817,0.0062776,0.0062776,0.0062776
96,9293.79,1.38687,1.04313,1.05205,0.52632,0.41402,0.43301,0.26439,1.32881,1.00812,1.03818,0.006238,0.006238,0.006238
97,9390.4,1.3841,1.03616,1.04827,0.52614,0.41429,0.43252,0.26393,1.32891,1.0079,1.03799,0.0061984,0.0061984,0.0061984
98,9486.15,1.37841,1.0353,1.04729,0.53024,0.41327,0.43417,0.26451,1.32875,1.00626,1.03761,0.0061588,0.0061588,0.0061588
99,9583.05,1.38401,1.03853,1.04953,0.53228,0.41409,0.43555,0.26608,1.32864,1.00459,1.03781,0.0061192,0.0061192,0.0061192
100,9679.9,1.38569,1.03278,1.04768,0.53637,0.41224,0.43498,0.26562,1.32884,1.00429,1.03749,0.0060796,0.0060796,0.0060796
101,9776.61,1.37876,1.03244,1.04706,0.53293,0.41375,0.43557,0.26621,1.32728,1.00331,1.03736,0.00604,0.00604,0.00604
102,9871.88,1.38257,1.03689,1.0481,0.53554,0.41327,0.43589,0.26617,1.32668,1.00313,1.03701,0.0060004,0.0060004,0.0060004
103,9967.74,1.37578,1.02822,1.04534,0.53496,0.41659,0.43773,0.26715,1.32671,1.00249,1.03676,0.0059608,0.0059608,0.0059608
104,10063.8,1.37442,1.02711,1.04609,0.54108,0.41263,0.43655,0.26713,1.32542,1.00199,1.03614,0.0059212,0.0059212,0.0059212
105,10160,1.37578,1.02107,1.04532,0.53868,0.41737,0.43681,0.26774,1.32356,1.00154,1.03561,0.0058816,0.0058816,0.0058816
106,10255.9,1.37863,1.02445,1.04328,0.53878,0.41354,0.43733,0.26799,1.32358,1.00069,1.03513,0.005842,0.005842,0.005842
107,10351.8,1.37383,1.02118,1.04403,0.53513,0.41925,0.43788,0.26777,1.32277,0.99975,1.03465,0.0058024,0.0058024,0.0058024
108,10448,1.36842,1.01718,1.04424,0.5396,0.41875,0.43842,0.26807,1.32217,0.99811,1.03387,0.0057628,0.0057628,0.0057628
109,10544.8,1.36896,1.018,1.04527,0.53689,0.42019,0.44016,0.26926,1.32203,0.99742,1.03369,0.0057232,0.0057232,0.0057232
110,10639.7,1.36917,1.01776,1.0432,0.53685,0.41868,0.44042,0.26863,1.32294,0.99746,1.03358,0.0056836,0.0056836,0.0056836
111,10736.1,1.37472,1.01538,1.04485,0.53818,0.42052,0.44057,0.26868,1.32249,0.99706,1.03368,0.005644,0.005644,0.005644
112,10833.8,1.3708,1.01698,1.04081,0.53527,0.42108,0.4405,0.26872,1.32277,0.99599,1.03375,0.0056044,0.0056044,0.0056044
113,10929.9,1.36393,1.0105,1.0398,0.52976,0.42477,0.44111,0.26885,1.32203,0.99505,1.03362,0.0055648,0.0055648,0.0055648
114,11027.3,1.36547,1.01035,1.03808,0.52818,0.42557,0.44081,0.26895,1.3218,0.99408,1.03334,0.0055252,0.0055252,0.0055252
115,11124,1.36507,1.00918,1.03946,0.53304,0.42491,0.44182,0.26973,1.32183,0.9931,1.03337,0.0054856,0.0054856,0.0054856
116,11218.8,1.36287,1.00712,1.03899,0.53443,0.42383,0.44252,0.27048,1.32135,0.99269,1.03307,0.005446,0.005446,0.005446
117,11314.8,1.36427,1.00951,1.04183,0.53167,0.42684,0.4431,0.27086,1.32006,0.99173,1.03297,0.0054064,0.0054064,0.0054064
118,11410.3,1.36372,1.00879,1.03781,0.52758,0.42579,0.44262,0.27116,1.32021,0.99212,1.03288,0.0053668,0.0053668,0.0053668
119,11505.9,1.35978,1.00743,1.03954,0.53155,0.42476,0.44279,0.27074,1.32,0.99209,1.03284,0.0053272,0.0053272,0.0053272
120,11603.7,1.35992,1.00474,1.03853,0.5292,0.42699,0.44371,0.2715,1.31976,0.99213,1.03276,0.0052876,0.0052876,0.0052876
121,11699.3,1.36378,1.00375,1.03955,0.52615,0.42783,0.44356,0.27148,1.31963,0.99118,1.03254,0.005248,0.005248,0.005248
122,11795.1,1.36124,1.0028,1.03825,0.52871,0.42739,0.44422,0.27201,1.31976,0.99025,1.0326,0.0052084,0.0052084,0.0052084
123,11890.5,1.35222,0.99212,1.03375,0.52778,0.42821,0.44429,0.27163,1.31999,0.99012,1.03258,0.0051688,0.0051688,0.0051688
124,11987.1,1.35528,0.99359,1.03486,0.53144,0.42674,0.44512,0.27219,1.32006,0.98955,1.03237,0.0051292,0.0051292,0.0051292
125,12083.2,1.35054,0.99063,1.03364,0.52884,0.42881,0.44491,0.27224,1.32032,0.98901,1.03208,0.0050896,0.0050896,0.0050896
126,12179.2,1.3582,0.9997,1.0359,0.52754,0.42844,0.44504,0.27207,1.32002,0.9881,1.03196,0.00505,0.00505,0.00505
127,12275.4,1.35664,0.99294,1.03411,0.53047,0.4283,0.4456,0.27217,1.31988,0.98767,1.03182,0.0050104,0.0050104,0.0050104
128,12372.5,1.35377,0.99064,1.03546,0.53366,0.42838,0.44634,0.27304,1.31929,0.98676,1.03143,0.0049708,0.0049708,0.0049708
129,12468.1,1.347,0.98988,1.03369,0.53312,0.4286,0.44588,0.27244,1.31891,0.98616,1.03123,0.0049312,0.0049312,0.0049312
130,12564.1,1.36036,0.99273,1.03535,0.53595,0.42776,0.44678,0.27303,1.3188,0.9859,1.03093,0.0048916,0.0048916,0.0048916
131,12661.3,1.34917,0.98952,1.03348,0.53219,0.42782,0.44598,0.27295,1.31837,0.98558,1.03073,0.004852,0.004852,0.004852
132,12758.8,1.34948,0.98939,1.03008,0.53551,0.42621,0.44617,0.27319,1.31822,0.98523,1.03063,0.0048124,0.0048124,0.0048124
133,12855.8,1.34732,0.98772,1.03208,0.53807,0.42691,0.44648,0.27342,1.31769,0.98431,1.03035,0.0047728,0.0047728,0.0047728
134,12953.1,1.35301,0.99206,1.03294,0.53751,0.42779,0.44634,0.2736,1.31755,0.98397,1.03019,0.0047332,0.0047332,0.0047332
135,13050.7,1.35067,0.98666,1.03292,0.54059,0.42668,0.44664,0.27371,1.31734,0.98385,1.03015,0.0046936,0.0046936,0.0046936
136,13147,1.34141,0.98142,1.03135,0.54082,0.42627,0.44666,0.27401,1.31744,0.98366,1.03005,0.004654,0.004654,0.004654
137,13243.3,1.348,0.98204,1.03065,0.53966,0.42829,0.44666,0.27399,1.3169,0.98288,1.02993,0.0046144,0.0046144,0.0046144
138,13339.2,1.34387,0.9807,1.03174,0.53746,0.4295,0.44686,0.27423,1.31655,0.98266,1.02963,0.0045748,0.0045748,0.0045748
139,13435.4,1.34416,0.97654,1.02783,0.53848,0.42854,0.44714,0.27455,1.31634,0.98208,1.02934,0.0045352,0.0045352,0.0045352
140,13531.5,1.34204,0.97758,1.03062,0.53665,0.43045,0.44741,0.27437,1.31625,0.98184,1.02909,0.0044956,0.0044956,0.0044956
141,13627.9,1.34468,0.97822,1.02996,0.53735,0.43027,0.44747,0.27433,1.31645,0.98142,1.02905,0.004456,0.004456,0.004456
142,13724.2,1.34482,0.97884,1.02945,0.54194,0.42861,0.44784,0.27441,1.31625,0.9809,1.02881,0.0044164,0.0044164,0.0044164
143,13820,1.34001,0.97008,1.02936,0.5399,0.43025,0.44876,0.27485,1.31584,0.98068,1.02882,0.0043768,0.0043768,0.0043768
144,13916,1.3363,0.96862,1.02849,0.53723,0.43044,0.44865,0.27496,1.31583,0.9805,1.02859,0.0043372,0.0043372,0.0043372
145,14012.4,1.33448,0.96629,1.02634,0.54027,0.42935,0.44839,0.27455,1.31568,0.98008,1.0284,0.0042976,0.0042976,0.0042976
146,14107.1,1.34016,0.97023,1.02928,0.53575,0.43157,0.44864,0.27492,1.31598,0.97979,1.02843,0.004258,0.004258,0.004258
147,14202.5,1.33258,0.96431,1.0265,0.53614,0.43186,0.44893,0.2751,1.31591,0.9797,1.02835,0.0042184,0.0042184,0.0042184
148,14299.3,1.341,0.96693,1.02468,0.53578,0.4313,0.44907,0.27523,1.31612,0.97962,1.0283,0.0041788,0.0041788,0.0041788
149,14395.5,1.33604,0.96551,1.02628,0.54104,0.42967,0.44883,0.27515,1.31634,0.97913,1.02832,0.0041392,0.0041392,0.0041392
150,14491.3,1.32829,0.9595,1.02461,0.53953,0.43025,0.4494,0.27531,1.31592,0.97877,1.02817,0.0040996,0.0040996,0.0040996
151,14588.7,1.3351,0.96515,1.02802,0.53862,0.43034,0.44933,0.27531,1.31588,0.97855,1.02805,0.00406,0.00406,0.00406
152,14685.1,1.3334,0.9615,1.02689,0.53883,0.43085,0.44943,0.27516,1.31578,0.97823,1.02784,0.0040204,0.0040204,0.0040204
153,14781.2,1.33173,0.95648,1.02508,0.53777,0.43164,0.44911,0.27495,1.316,0.97797,1.02775,0.0039808,0.0039808,0.0039808
154,14878.9,1.3245,0.95509,1.02274,0.53576,0.43258,0.44926,0.27494,1.31604,0.97766,1.02761,0.0039412,0.0039412,0.0039412
155,14976.3,1.33234,0.95823,1.02552,0.53814,0.43222,0.44948,0.27493,1.31591,0.97719,1.02739,0.0039016,0.0039016,0.0039016
156,15072.2,1.32297,0.95122,1.0242,0.53592,0.43309,0.44975,0.27507,1.3159,0.97686,1.0273,0.003862,0.003862,0.003862
157,15168.5,1.32906,0.95819,1.02301,0.53497,0.43545,0.4495,0.27522,1.31576,0.97655,1.02722,0.0038224,0.0038224,0.0038224
158,15264.1,1.32675,0.95492,1.02297,0.5371,0.43392,0.44952,0.27528,1.31562,0.97611,1.02713,0.0037828,0.0037828,0.0037828
159,15360,1.32944,0.95076,1.02171,0.53467,0.43538,0.44933,0.27517,1.31557,0.97618,1.02712,0.0037432,0.0037432,0.0037432
160,15455.7,1.32527,0.95143,1.02299,0.53466,0.43498,0.44928,0.27526,1.31546,0.97586,1.02702,0.0037036,0.0037036,0.0037036
161,15551.9,1.32202,0.94904,1.02218,0.53647,0.43423,0.44928,0.27522,1.31559,0.97563,1.02698,0.003664,0.003664,0.003664
